Drug	SMILES
dimaprit	CN(C)CCCSC(N)=N
nilutamide	CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
clindamycin	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O
volinanserin	COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC
BCI-540	Cc1oc2nc3CCCCc3c(NC(=O)CN3CCCC3=O)c2c1C
voreloxin	CN[C@H]1CN(C[C@@H]1OC)c1ccc2c(n1)n(cc(C(O)=O)c2=O)-c1nccs1
tafamidis-meglumine	OC(=O)c1ccc2nc(oc2c1)-c1cc(Cl)cc(Cl)c1
dichlorvos	COP(=O)(OC)OC=C(Cl)Cl
coumarin	O=c1ccc2ccccc2o1
arecaidine-propargyl-ester	CN1CCC=C(C1)C(=O)OCC#C
oridonin	O[C@@H]1[C@H]2CC[C@@H]3[C@@]45CO[C@](O)(C[C@@H]4C(C)(C)CC[C@@H]5O)[C@@]13C(=O)C2=C
BMS-986020	C[C@@H](OC(=O)Nc1c(C)noc1-c1ccc(cc1)-c1ccc(CC(O)=O)cc1)c1ccccc1
travoprost	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)COc1cccc(c1)C(F)(F)F
sorafenib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1
abiraterone-acetate	CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@@H]3CC=C2C1
paraxanthine	Cn1cnc2[nH]c(=O)n(C)c(=O)c12
arsanilic-acid	Nc1ccc(cc1)[As](O)(O)=O
VU0238429	COc1ccc(CN2C(=O)C(=O)c3cc(OC(F)(F)F)ccc23)cc1
SB-269970	CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1
amineptine	OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12
TC2559	CCOc1cncc(\C=C\CCNC)c1
GW-2580	COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1
fluoxymesterone	C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
vanillin	COc1cc(C=O)ccc1O
urethane	CCOC(N)=O
tecovirimat	FC(F)(F)c1ccc(cc1)C(=O)NN1C(=O)[C@H]2[C@H]([C@H]3C=C[C@@H]2[C@@H]2C[C@H]32)C1=O
etebenecid	CCN(CC)S(=O)(=O)c1ccc(cc1)C(O)=O
cintriamide	COc1cc(cc(OC)c1OC)\C=C\C(N)=O
evans-blue	Cc1cc(ccc1\N=N\c1ccc2c(cc(c(N)c2c1O)S(O)(=O)=O)S(O)(=O)=O)-c1ccc(c(C)c1)\N=N\c1ccc2c(cc(c(N)c2c1O)S(O)(=O)=O)S(O)(=O)=O
deoxycorticosterone-acetate	CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
ETP-46464	CC(C)(C#N)c1ccc(cc1)N1C(=O)OCc2cnc3ccc(cc3c12)-c1cnc2ccccc2c1
SD-208	Fc1ccc(Cl)cc1-c1nc(Nc2ccncc2)c2nccnc2n1
AT-9283	O=C(NC1CC1)Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1
AZD3463	COc1cc(ccc1Nc1ncc(Cl)c(n1)-c1c[nH]c2ccccc12)N1CCC(N)CC1
phlorizin	OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc2ccc(O)cc2)[C@@H](O)[C@@H](O)[C@@H]1O
5-hydroxymethyl-tolterodine	CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
procaine	CCN(CC)CCOC(=O)c1ccc(N)cc1
3-bromo-7-nitroindazole	[O-][N+](=O)c1cccc2c(Br)n[nH]c12
NVP-AEW541	Nc1ncnc2n(cc(-c3cccc(OCc4ccccc4)c3)c12)[C@@H]1C[C@H](CN2CCC2)C1
bucillamine	CC(C)(S)C(=O)N[C@@H](CS)C(O)=O
ethacridine-lactate-monohydrate	CCOc1ccc2nc3cc(N)ccc3c(N)c2c1
solifenacin-succinate	O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1
ampalex	O=C(N1CCCCC1)c1ccc2nccnc2c1
tricaprylin	CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
CH-170	Cc1nc(Cn2cnc3n(C)c(=O)n(C)c(=O)c23)no1
SGC-CBP30	COc1ccc(CCc2nc3cc(ccc3n2C[C@H](C)N2CCOCC2)-c2c(C)noc2C)cc1Cl
5-fluorouracil	Fc1c[nH]c(=O)[nH]c1=O
CNX-2006	COc1cc(NC2CN(CCF)C2)ccc1Nc1ncc(c(Nc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F
grazoprevir	COc1ccc2nc3CCCCC[C@@H]4C[C@H]4OC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)N[C@@]4(C[C@H]4C=C)C(=O)NS(=O)(=O)C4CC4)Oc3nc2c1)C(C)(C)C
SB-683698	COc1cccc(OC)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(O)=O)cc1
limaprost-alfadex	CCCC[C@H](C)C[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O
aminoguanidine	NNC(N)=N
CX-516	O=C(N1CCCCC1)c1ccc2OCOc2c1
tangeritin	COc1ccc(cc1)-c1cc(=O)c2c(OC)c(OC)c(OC)c(OC)c2o1
pritelivir	CN(C(=O)Cc1ccc(cc1)-c1ccccn1)c1nc(C)c(s1)S(N)(=O)=O
pirenperone	Cc1nc2ccccn2c(=O)c1CCN1CCC(CC1)C(=O)c1ccc(F)cc1
apatinib	O=C(Nc1ccc(cc1)C1(CCCC1)C#N)c1cccnc1NCc1ccncc1
MK-8745	Fc1c(Cl)cccc1C(=O)N1CCN(Cc2cccc(Nc3nccs3)n2)CC1
KU-55933	O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
matrine	O=C1CCC[C@@H]2[C@@H]3CCCN4CCC[C@H](CN12)[C@@H]34
modaline	Cc1nccnc1N1CCCCC1
OSI-930	FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc2ccnc3ccccc23)cc1
WZ811	C(Nc1ccccn1)c1ccc(CNc2ccccn2)cc1
oxaprozin	OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1
GSK2110183	Cn1ncc(Cl)c1-c1cc(sc1Cl)C(=O)N[C@H](CN)Cc1cccc(F)c1
maprotiline	CNCCCC12CCC(c3ccccc13)c1ccccc21
DRF053-(R)	CC[C@H](CO)Nc1nc(Nc2cccc(c2)-c2ccccn2)c2ncn(C(C)C)c2n1
JNJ-16259685	CO[C@H]1CC[C@H](CC1)C(=O)c1ccc2nc3OCCCc3cc2c1
LY2784544	Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1
2-iodomelatonin	COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1
physostigmine	CNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1
4-iodo-6-phenylpyrimidine	Ic1cc(ncn1)-c1ccccc1
chuanxiongzine	Cc1nc(C)c(C)nc1C
tapentadol	CC[C@@H]([C@@H](C)CN(C)C)c1cccc(O)c1
azilsartan-medoxomil	CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(cc1)-c1ccccc1-c1nc(=O)o[nH]1
PRT062070	CCS(=O)(=O)N1CCN(CC1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1
josamycin	CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O
SC-9	Clc1cccc2c(cccc12)S(=O)(=O)NCCCCCCc1ccccc1
immepip	C(C1CCNCC1)c1c[nH]cn1
blonanserin	CCN1CCN(CC1)c1cc(-c2ccc(F)cc2)c2CCCCCCc2n1
BMS-649	CC1(C)CCC(C)(C)c2cc(ccc12)C1(OCCO1)c1ccc(cc1)C(O)=O
gramine	CN(C)Cc1c[nH]c2ccccc12
licochalcone-a	COc1cc(O)c(cc1C=CC(=O)c1ccc(O)cc1)C(C)(C)C=C
adenine	Nc1ncnc2[nH]cnc12
RS-45041-190	Clc1cccc2CN(Cc12)C1=NCCN1
magnolol	Oc1ccc(CC=C)cc1-c1cc(CC=C)ccc1O
trans-10,cis-12-Conjugated-linoleic-acid	CCCCC\C=C/C=C/CCCCCCCCC(O)=O
NMS-873	Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1-c1ccc(cc1)S(C)(=O)=O
acamprosate	CC(=O)NCCCS(O)(=O)=O
K-Ras(G12C)-inhibitor-6	SCCCC(=O)NC1CCN(CC1)C(=O)COc1ccc(Cl)cc1Cl
API-001	Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1
L-ergothioneine	C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(O)=O
OG-L002	N[C@H]1C[C@@H]1c1ccc(cc1)-c1cccc(O)c1
IKK-2-inhibitor	NC(=O)c1sc(cc1N)-c1ccsc1
vanitiolide	COc1cc(ccc1O)C(=S)N1CCOCC1
EPZ-5676	CC(C)N(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)[C@@H]1C[C@H](CCc2nc3cc(ccc3[nH]2)C(C)(C)C)C1
quinpirol-(-)	CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12
DMAB-anabaseine	CN(C)c1ccc(cc1)\C=C1CCCN=C/1c1cccnc1
bifendate	COC(=O)c1cc(OC)c2OCOc2c1-c1c2OCOc2c(OC)cc1C(=O)OC
PD-153035	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
thiocolchicoside	COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2CC[C@H](NC(C)=O)c3cc(=O)c(SC)ccc3-c2c1OC
tilmicosin	CC[C@@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CCN2C[C@@H](C)C[C@@H](C)C2)C[C@@H](C)C(=O)\C=C\C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC
imiquimod	CC(C)Cn1cnc2c(N)nc3ccccc3c12
TAK-733	Cn1c2ncn(C[C@@H](O)CO)c(=O)c2c(Nc2ccc(I)cc2F)c(F)c1=O
tegobuvir	Fc1ccccc1-c1nc2ccn(Cc3ccc(nn3)-c3ccc(cc3C(F)(F)F)C(F)(F)F)cc2n1
VX-765	CCO[C@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(N)c(Cl)c1)C(C)(C)C
fenspiride	O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
VE-821	CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1ccccc1
pipamperone	NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N1CCCCC1
aklomide	NC(=O)c1ccc(cc1Cl)[N+]([O-])=O
GW-842166	FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1
azomycin-(2-nitroimidazole)	[O-][N+](=O)c1ncc[nH]1
costunolide	C\C1=C/CC\C(C)=C\[C@H]2OC(=O)C(=C)[C@@H]2CC1
AST-1306	Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc2Cl)c1
diosmetin	COc1ccc(cc1O)-c1cc(=O)c2c(O)cc(O)cc2o1
lumiracoxib	Cc1ccc(Nc2c(F)cccc2Cl)c(CC(O)=O)c1
UNC1999	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(cc2n(ncc12)C(C)C)-c1ccc(nc1)N1CCN(CC1)C(C)C
D-64131	COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1
chlorotrianisene	COc1ccc(cc1)C(Cl)=C(c1ccc(OC)cc1)c1ccc(OC)cc1
xanthone	O=c1c2ccccc2oc2ccccc12
SB-203186	O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12
SDZ-220-581	N[C@@H](Cc1cc(CP(O)(O)=O)cc(c1)-c1ccccc1Cl)C(O)=O
metatinib	Nc1nccc(Oc2ccc(NC(=O)c3c[nH]cc(-c4ccc(F)cc4)c3=O)cc2F)c1Cl
levocetirizine	OC(=O)COCCN1CCN(CC1)[C@H](c1ccccc1)c1ccc(Cl)cc1
balicatib	CCCN1CCN(CC1)c1ccc(cc1)C(=O)NC1(CCCCC1)C(=O)NCC#N
butamben	CCCCOC(=O)c1ccc(N)cc1
LY294002	O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1
calcitriol	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
rhein	OC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1
nomegestrol-acetate	CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O
piperaquine-phosphate	Clc1ccc2c(ccnc2c1)N1CCN(CCCN2CCN(CC2)c2ccnc3cc(Cl)ccc23)CC1
xipamide	Cc1cccc(C)c1NC(=O)c1cc(c(Cl)cc1O)S(N)(=O)=O
acetyl-l-leucine	CC(C)C[C@H](NC(C)=O)C(O)=O
clopidogrel	COC(=O)[C@@H](N1CCc2sccc2C1)c1ccccc1Cl
H-89	Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1
clindamycin-phosphate	CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O
cyclovirobuxin-d	CN[C@@H](C)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4[C@]5(C[C@@]35CC[C@]12C)CC[C@H](NC)C4(C)C
1s,2r-phenylpropanolamine	C[C@@H](N)[C@@H](O)c1ccccc1
flucloxacillin	Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)-c1c(F)cccc1Cl
chromanol-293B-(-)-[3R,4S]	CCS(=O)(=O)N(C)[C@@H]1[C@@H](O)C(C)(C)Oc2ccc(cc12)C#N
ASA-404	Cc1ccc2c(oc3c(CC(O)=O)cccc3c2=O)c1C
lomeguatrib	Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1
Ro-60-0175	C[C@H](N)Cn1ccc2cc(F)c(Cl)cc12
dolasetron	O=C(O[C@H]1C[C@H]2C[C@H]3C[C@@H](C1)N2CC3=O)c1c[nH]c2ccccc12
INCB-003284	COc1ccc(cn1)C1(O)CCC(CC1)N1CC[C@H](C1)NC(=O)CNC(=O)c1cccc(c1)C(F)(F)F
apafant	Cc1nnc2CN=C(c3cc(CCC(=O)N4CCOCC4)sc3-n12)c1ccccc1Cl
parthenolide-(alternate-stereo)	C\C1=C/CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
N-acetylglycyl-D-glutamic-acid	CC(=O)NCC(=O)N[C@H](CCC(O)=O)C(O)=O
cyproheptadine	CN1CCC(CC1)=C1c2ccccc2C=Cc2ccccc12
proguanil	CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1
spiradoline	CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1)C(=O)Cc1ccc(Cl)c(Cl)c1
cephalothin	CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1cccs1)C2=O)C(O)=O
ganaxolone	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
flutamide	CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
alpha-methylhistamine-dihydrobromide-(S)-(+)	C[C@H](N)Cc1c[nH]cn1
20-hydroxyecdysone	CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C
CH5132799	CS(=O)(=O)N1CCc2c1nc(nc2-c1cnc(N)nc1)N1CCOCC1
TW-37	CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccccc2C(C)(C)C)c(O)c(O)c1O
AP1903	CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCNC(=O)COc2cccc(c2)[C@@H](CCc2ccc(OC)c(OC)c2)OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](CC)c2cc(OC)c(OC)c(OC)c2)c1)c1cc(OC)c(OC)c(OC)c1
AZD4547	COc1cc(CCc2cc(NC(=O)c3ccc(cc3)N3C[C@H](C)N[C@H](C)C3)n[nH]2)cc(OC)c1
mecarbinate	CCOC(=O)c1c(C)n(C)c2ccc(O)cc12
brivanib	C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C
R-1479	Nc1ccn([C@@H]2O[C@@](CO)(N=[N+]=[N-])[C@@H](O)[C@H]2O)c(=O)n1
nitrocaramiphen	CCN(CC)CCOC(=O)C1(CCCC1)c1ccc(cc1)[N+]([O-])=O
seocalcitol	CCC(O)(CC)\C=C\C=C\[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C
piconol	OCc1ccccn1
sulfamethoxazole	Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
benzydamine	CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
A-803467	COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1
cilostamide	CN(C1CCCCC1)C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1
meglumine	CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
pyrazinamide	NC(=O)c1cnccn1
diosgenin	C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)O[C@]11CC[C@@H](C)CO1
zuclopenthixol	OCCN1CCN(CC\C=C2\c3ccccc3Sc3ccc(Cl)cc23)CC1
ramelteon	CCC(=O)NCC[C@@H]1CCc2ccc3OCCc3c12
resminostat	CN(C)Cc1ccc(cc1)S(=O)(=O)n1ccc(c1)\C=C\C(=O)NO
genipin	COC(=O)C1=CO[C@@H](O)[C@H]2[C@@H]1CC=C2CO
mesalazine	Nc1ccc(O)c(c1)C(O)=O
A922500	OC(=O)[C@H]1CCC[C@H]1C(=O)c1ccc(cc1)-c1ccc(NC(=O)Nc2ccccc2)cc1
PNU-282987	Clc1ccc(cc1)C(=O)N[C@H]1CN2CCC1CC2
CD-437	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
nicotinamide	NC(=O)c1cccnc1
ketotifen	CN1CCC(CC1)=C1c2ccsc2C(=O)Cc2ccccc12
BVD-523	CC(C)Nc1cc(-c2c[nH]c(c2)C(=O)N[C@H](CO)c2cccc(Cl)c2)c(Cl)cn1
ZD-7114	COCCNC(=O)COc1ccc(OCCNC[C@H](O)COc2ccccc2)cc1
emoxipin	CCc1nc(C)ccc1O
ICI-185,282	OC(=O)CCC\C=C/C[C@@H]1CO[C@@H](O[C@@H]1c1ccccc1O)C(F)(F)F
isoflupredone-acetate	CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
eszopiclone	CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)c2nccnc12)c1ccc(Cl)cn1
thiram	CN(C)C(=S)SSC(=S)N(C)C
edoxaban	CN(C)C(=O)[C@@H]1CC[C@H](NC(=O)C(=O)Nc2ccc(Cl)cn2)[C@H](C1)NC(=O)c1nc2CCN(C)Cc2s1
ebselen	O=c1n([se]c2ccccc12)-c1ccccc1
pantothenic-acid	CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O
PIK-93	CC(=O)Nc1nc(C)c(s1)-c1ccc(Cl)c(c1)S(=O)(=O)NCCO
BGT226	COc1ccc(cn1)-c1ccc2ncc3n(C)c(=O)n(-c4ccc(N5CCNCC5)c(c4)C(F)(F)F)c3c2c1
chlorambucil	OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
deserpidine	CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c1cc(OC)c(OC)c(OC)c1
amlexanox	CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O
1-naphthyl-PP1	CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12
SNC-80	CCN(CC)C(=O)c1ccc(cc1)[C@@H](N1C[C@@H](C)N(CC=C)C[C@@H]1C)c1cccc(OC)c1
ziprasidone	Clc1cc2NC(=O)Cc2cc1CCN1CCN(CC1)c1nsc2ccccc12
flunarizine	Fc1ccc(cc1)C(N1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1
topiramate	CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
MK-8245	OC(=O)Cn1nnc(n1)-c1cc(no1)N1CCC(CC1)Oc1cc(F)ccc1Br
BD-1063	CN1CCN(CCc2ccc(Cl)c(Cl)c2)CC1
hypericin	Cc1cc(O)c2c3c1c1c(C)cc(O)c4c1c1c3c3c(c(O)cc(O)c3c2=O)c2c(O)cc(O)c(c12)c4=O
mebhydrolin	CN1CCc2c(C1)c1ccccc1n2Cc1ccccc1
mebhydroline-1,5-naphtalenedisulfonate	CN1CCc2c(C1)c1ccccc1n2Cc1ccccc1
ostarine	C[C@](O)(COc1ccc(cc1)C#N)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F
myricitrin	C[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2cc(O)c(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O
SKLB1002	COc1cc2ncnc(Sc3nnc(C)s3)c2cc1OC
axitinib	CNC(=O)c1ccccc1Sc1ccc2c(\C=C\c3ccccn3)n[nH]c2c1
glucosamine	N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
clomifene	CCN(CC)CCOc1ccc(cc1)C(=C(/Cl)c1ccccc1)\c1ccccc1
KX2-391	O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1
dexfosfoserine	N[C@@H](COP(O)(O)=O)C(O)=O
aliskiren-hemifumarate	COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)ccc1OC
methenamine	C1N2CN3CN1CN(C2)C3
dimesna	OS(=O)(=O)CCSSCCS(O)(=O)=O
fenofibric-acid	CC(C)(Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1)C(O)=O
1400W	CC(=N)NCc1cccc(CN)c1
clemastine	CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
ASC-J9	COc1ccc(cc1OC)\C=C\C(=O)CC(=O)\C=C\c1ccc(OC)c(OC)c1
dutasteride	C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(ccc1C(F)(F)F)C(F)(F)F
mannitol-D	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
timolol	CC(C)(C)NC[C@@H](O)COc1nsnc1N1CCOCC1
domiphen	CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1
ellagic-acid	Oc1cc2c3c(oc(=O)c4cc(O)c(O)c(oc2=O)c34)c1O
torasemide	CC(C)NC(=O)NS(=O)(=O)c1cnccc1Nc1cccc(C)c1
homoquinolinic-acid	OC(=O)Cc1cccnc1C(O)=O
PF-04620110	Nc1ncnc2OCCN(c3ccc(cc3)[C@H]3CC[C@H](CC(O)=O)CC3)C(=O)c12
hesperetin	COc1ccc(cc1O)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1
rifabutin	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(c(O)c3C)c(O)c(NC(=O)\C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c1=NC3(CCN(CC(C)C)CC3)N=c21
CTEP	Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(OC(F)(F)F)cc1
docetaxel	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C
levallorphan	Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC=C)c2c1
mafenide	NCc1ccc(cc1)S(N)(=O)=O
eletriptan	CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
levothyroxine	N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O
PNU-74654	Cc1ccc(\C=N\NC(=O)c2ccccc2Oc2ccccc2)o1
isopropyl-palmitate	CCCCCCCCCCCCCCCC(=O)OC(C)C
SB-216641	COc1ccc(NC(=O)c2ccc(cc2)-c2ccc(cc2C)-c2noc(C)n2)cc1OCCN(C)C
UNBS-5162	CN(C)CCN1C(=O)c2cccc3cc(NC(N)=O)cc(C1=O)c23
PIK-293	Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O
FR-122047	COc1ccc(cc1)-c1nc(sc1-c1ccc(OC)cc1)C(=O)N1CCN(C)CC1
BMY-7378	COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1
NH125	CCCCCCCCCCCCCCCC[n+]1ccn(Cc2ccccc2)c1C
donitriptan	NCCc1c[nH]c2ccc(OCC(=O)N3CCN(CC3)c3ccc(cc3)C#N)cc12
dimethyl-fumarate	COC(=O)\C=C\C(=O)OC
IB-MECA	CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NCc3cccc(I)c3)ncnc12
tofacitinib	C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N
